#RUN	GRID	lat	lon	INFILT	Ds	Ds_MAX	Ws	C	EXPT_1	EXPT_2	Ksat_1	Ksat_2	PHI_1	PHI_2	MOIST_1	MOIST_2	ELEV	DEPTH_1	DEPTH_2	AVG_T	DP	BUBLE1	BUBLE2	QUARZ1	QUARZ2	BULKDN1	BULKDN2	PARTDN1	PARTDN2	OFF_GMT	WcrFT1	WcrFT2	WpFT1	WpFT2	Z0_SOIL	Z0_SNOW	PRCP	RESM1	RESM2	FS_ACTV
1	17	28.65	97.95	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4464	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	18	28.65	98	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4765	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	19	28.6	97.7	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4542	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	20	28.6	97.75	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.482338996	4132	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1660	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	21	28.6	97.8	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4132	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	22	28.6	97.85	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.043333981	0.421320208	4163	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1210	1450	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	23	28.6	97.9	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4839	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	24	28.6	97.95	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4464	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	25	28.6	98	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4758	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	26	28.6	98.05	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4539	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	27	28.55	97.65	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4518	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	28	28.55	97.7	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4624	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	29	28.55	97.75	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4739	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	30	28.55	97.8	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4459	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
